kind,oldName,oldHo,newName,newHo,note
호수변경,해피부과의원,서관 504~509,해피부과의원,2-504~509,안내도 기준 유지(504부터)
호수변경,한체대웅비태권도,2-510,한체대웅비태권도,2-510~511,511 포함
호수변경,메이플자이 비발디음악학원,2-513~515,동일,2-513~515,
호수변경,성모하나내과의원,서관2 401~405,성모하나내과의원,2-401~405,안내도 확정
호수변경,연세보스톤치과의원,406~408,연세보스톤치과의원,2-406~408,
호수변경,갤러리아피부과의원 메이플관,서관 4층 호수 미확인,갤러리아피부과의원 메이플관,2-409~412,호수 확정
호수변경,신우성약국,2-306,신우성약국,2-306,안내도상 306 (307부터 이화양내과)
호수변경,이화양내과의원,307~310,이화양내과의원,2-307~310,
호수변경,이석민치과의원,315~318,이석민치과의원,2-315~318,
호수변경,3층메이플약국,2-321,3층메이플약국,2-321,
호수변경,경희이룸한의원,203~205,경희이룸한의원,2-202~205,"201은 공실(X), 202부터"
호수변경,더풋샵 / 더하노이,서관 2-209 한 점포로 합침,더풋샵 서관 2-209~210 / 더하노이 동관 1-311~313,,안내도에서 분리
호수변경,아이윌24시동물병원,2-213,아이윌24시동물병원,2-213~214,
호수변경,그림담,2-215,그림담,2-215,
호수변경,국어생각,2-217,국어생각,2-216,호수 이동
호수변경,오공김밥,2-101,오공김밥,2-101,
호수변경,메이플자이경원,2-103,경원부동산,2-103,102는 공실(X)
호수변경,덕우메이플자이,2-105,덕우부동산,2-105,106은 태양으로 변경
호수변경,메이플자이공인중개사,2-108,메이플자이부동산,2-107,108은 공실(X)
호수변경,화신,2-110,화신,2-109,
호수변경,LG유플러스,2-111,LG유플러스,2-110,
호수변경,이안,2-113,이안,2-113,
호수변경,부동산넷,2-118,부동산넷,2-118,
호수변경,그린,2-121,그린부동산,2-121,
호수변경,국민,2-123,국민,2-123,
호수변경,매일부동산,2-124,매일부동산,2-124,
상호·호수불일치,강남일등공인중개사사무소,2-125,명품이발소 & 8체질양생원,2-125,안내도 상호가 다름 → 강남일등은 미확인 목록
호수변경,메이플탑,호수 미확인,메이플탑,2-125-1,
호수변경,GS25,2-120,GS25,2-120,
호수변경,라쿠치,1층 호수 미확인,라쿠치 젤라또,2-127,
동서변경,나이스가이,동관 지하 호수 미확인,나이스가이,서관 2-B108,안내도는 서관
동서변경,로데오안경원,동관 1-B109,로데오안경원,서관 2-B109,안내도는 서관
호수변경,이마트 에브리데이,동관 B106~B108,이마트 에브리데이,1-B106~B109,스티커·안내도. B110부터 방배김밥
호수변경,파리바게뜨,1-B111,파리바게뜨,1-B111,유지
호수변경,파워점핑줄넘기,동관 지하 호수 잘림,파워점핑줄넘기,1-B113~B114,
호수변경,블랑제리 메이에르,1-B104,블랑제리 메이에르,1-B104,
호수변경,부위부위정육점,동관 지하 호수 미확인,부위부위정육점,1-B105,
호수변경,아이디헤어,1-B101~B103,아이디헤어,1-B101~B103,
호수변경,잠원숲정신건강,401·402·407,잠원숲정신건강,1-401~402,407은 발달클리닉로 분리
호수변경,웰유가정의학,405·406,웰유가정의학,1-405~406,
호수변경,메이플수학교습소,1-408,메이플수학교습소,1-408,
호수변경,이렘아트스튜디오,1-411,이렘아트스튜디오,1-411,
호수변경,피부티크,1-412,피부티크,1-412,
호수변경,마음약국,1-413,마음약국,1-413,
호수변경,원성진헤어,1-41x 잘림,원성진헤어,1-415~416,
호수변경,최지연국어,층·호 미확인,최지연국어교습소,1-414,위치 확정
호수변경,화음치과,동관 3층 호수 없음,화음치과의원,1-309~310,
호수변경,아비다선,1-304,아비다선헤어살롱,1-304,
호수변경,더결의원,305~308,더결의원,1-305~308,
호수변경,오벳서울,동관 3층 호수 잘림,오벳서울,1-314,
호수변경,모바피티앤필라테스,315~316,모바피티앤필라테스,1-315~316,
호수변경,안목안경,동관 2층 호수 미확인,안목안경,1-201,
호수변경,반포일등정형외과,202~206·214~215,반포일등정형외과,1-202~205 · 1-214~216,206~210 안내도 X(공실)
호수변경,필영어,1-212,필영어,1-211,
호수변경,365연약국,1-213,365연약국,1-212~213,
호수변경,하나은행,1-104,하나은행,1-104,105는 안내도 X
호수변경,헤라스아트,1-106,헤라스아트,1-106,
호수변경,새생명약국,1-102,새생명약국,1-102,
호수변경,마인드케어심리치료센터,507~510,MCI마인드케어센터,1-507~510,안내도 상호 MCI
호수변경,메종포인트발레,1-505~506,메종포인트발레학원,1-505~506,
호수변경,페리오치과,503~504,페리오치과의원,1-503~504,
호수변경,현피티,403~404,현피티,1-403~404,
호수변경,모아르헤어,2-301,모아르헤어,2-301,
호수변경,지온필라테스,서관 3층 호수 미확인,지온필라테스&자이로토닉,2-305,
호수변경,바레스튜디오 물든,3층 호수 잘림,바레스튜디오 물든,2-319,
호수변경,히크헤어,313,히크헤어,2-313,
호수변경,크린토피아,지하 호수 미확인,크린토피아,2-B107,
호수변경,동경규동,호수 미확인/2-B102,동경규동,2-B102-1,
호수변경,만만마켓,지하 호수 미확인,만만마켓,2-B103,
호수변경,레드바틀,지하 호수 미확인,레드바틀,2-B105,
호수변경,메이플원,2-B108,메이플원,2-B108-1,B108은 나이스가이
호수변경,크린에이드,지하 호수 미확인,크린에이드(크렌즈갤러리와 동일 칸),2-B122,
호수변경,카페데이지,2-B123,카페데이지,2-B123,
