shopId,unitId,wing,name,nameSign,phone,address,category,shopStatus,source,matchMethod,verifiedAt,notes
S004,ML-B1-1-B111,동관,파리바게뜨 잠원역메이플자이점,,0504-3118-2651,"서울특별시 서초구 잠원로4길 50, 지하1층 1-B111호",생활,open,portal,unit-exact,,1동=동관
S003,ML-1-1-102,동관,새생명약국,,02-533-7168,"서울특별시 서초구 잠원로4길 50, 1층 1-102호",의료,open,public,unit-exact,,
S013,ML-2-202,동관,반포일등정형외과의원,,02-534-9111,"서울특별시 서초구 잠원로4길 50, 1동 2층 202~206·214~215호",의료,open,public,unit-exact,,
S021,ML-2-1-213,동관,365연약국,,02-533-3653,"서울특별시 서초구 잠원로4길 50, 2층 1-213호",의료,open,public,unit-exact,,
S014,ML-3-301,동관,연세투핸즈치과교정과의원,,02-6221-2875,"서울특별시 서초구 잠원로4길 50, 1동 3층 301~303호",의료,open,public,unit-exact,,
S012,ML-3-305,동관,더결의원,,02-6949-1660,"서울특별시 서초구 잠원로4길 50, 1동 305~308호",의료,open,public,unit-exact,,피부과
S024,ML-3-동관,동관,화음치과의원,,02-3478-2804,"서울특별시 서초구 잠원로4길 50, 메이플자이상가 동관 3층",의료,open,portal,floor-name,,호수 없음
S016,ML-4-401,동관,잠원숲정신건강의학과의원,,02-6951-0777,"서울특별시 서초구 잠원로4길 50, 1동 401·402·407호",의료,open,public,unit-exact,,
S017,ML-4-405,동관,웰유가정의학과의원,,0507-1448-1632,"서울특별시 서초구 잠원로4길 50, 1동 405호·406호",의료,open,portal,unit-exact,,이용자 제공 전화
S011,ML-4-1-413,동관,마음약국,,02-595-7857,"서울특별시 서초구 잠원로4길 50, 4층 1-413호",의료,open,public,unit-exact,,
S019,ML-5-501,동관,연세꿈꾸는치과의원,서초잠원점,02-537-2070,"서울특별시 서초구 잠원로4길 50, 1동 5층 501~502호",의료,open,public,unit-exact,,1동 동관
S005,ML-B1-2-B112,서관,북촌손만두 잠원메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 2-B112호",음식,open,public,unit-exact,,2동=서관
S006,ML-B1-2-B119,서관,샐러링 잠원메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 2동 B-119호",음식,open,portal,unit-exact,,
S001,ST-1-2-124,서관,매일부동산,메이플매일공인중개사사무소,02-533-1997,"서울특별시 서초구 잠원로4길 50, 1층 2-124호",부동산,open,portal,unit-exact,,
S002,ST-1-2-108,서관,메이플자이공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 서관 1층 2-108호",부동산,open,portal,unit-exact,,
S007,ML-2-203,서관,경희이룸한의원,,02-593-8575,"서울특별시 서초구 잠원로4길 50, 2동 2층 203~205호",의료,open,public,unit-exact,,
S023,ST-2-2-209,서관,더하노이풋앤바디 잠원메이플자이점,더풋샵마사지 잠원역점,0507-1482-7087,"서울특별시 서초구 잠원로4길 50, 서관 2-209호",생활,open,portal,unit-exact,,이용자 제공 호수·전화. 포털 상호 더하노이
S015,ML-3-302,서관,이손소아청소년과의원,,02-533-8254,"서울특별시 서초구 잠원로4길 50, 2동 302~304호",의료,open,public,unit-exact,,
S022,ML-3-2-306,서관,신우성약국,,02-536-3174,"서울특별시 서초구 잠원로4길 50, 3층 2-306호",의료,open,public,unit-exact,,
S008,ML-3-311,서관,열린경희한의원,,02-2135-4701,"서울특별시 서초구 잠원로4길 50, 서동 3층 311~312호",의료,open,public,unit-exact,,
S009,ML-3-2-314,서관,잠원드림약국,,0507-1479-2461,"서울특별시 서초구 잠원로4길 50, 3층 2-314호",의료,open,public,unit-exact,,
S010,ML-3-2-321,서관,3층메이플약국,,0507-1309-9572,"서울특별시 서초구 잠원로4길 50, 3층 2-321호",의료,open,public,unit-exact,,
S018,ML-4-W2-401,서관,성모하나내과의원,,02-6254-3511,"서울특별시 서초구 잠원로4길 50, 서관2 401~405호",의료,open,public,unit-exact,,
S020,ML-5-504,서관,해피부과의원,,02-532-7582,"서울특별시 서초구 잠원로4길 50, 서관 5층 504~509호",의료,open,portal,unit-exact,,
S025,ML-B1-1-B106,동관,이마트 에브리데이 잠원메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하1층 B106~B108호",생활,open,public,unit-exact,,종량제 판매처 기준. B109는 로데오안경. 전화 02-380-5060은 우면점이라 넣지 않음
S026,ML-B1-크린토피아,미확인,크린토피아 잠원메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하1층",생활,open,portal,floor-name,,이미지 지하1…. 호수·동서 미확인
S027,ML-B1-동경규동,미확인,동경규동 메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하",음식,open,field,floor-name,,공식 매장안내에 이 주소. 호수 없음
S028,ST-1-2-101,서관,오공김밥 잠원역점,,070-8872-0214,"서울특별시 서초구 잠원로4길 50, 1층 2-101호",음식,open,portal,unit-exact,,이용자 제공 상세주소. 070은 매장 전화
S029,ML-B1-애프터,미확인,애프터,,,"서울특별시 서초구 잠원로4길 50, 지하1층",생활,open,portal,floor-name,,이미지 지하. 장소대여. 호수·동서 미확인
S030,ST-1-2-120,서관,GS25 메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 1층 2-0120호",생활,open,public,unit-exact,,종량제 판매처 주소
S031,ST-1-2-111,서관,LG유플러스 잠원동 잠원역점,메이플프라자,,"서울특별시 서초구 잠원로4길 50, 잠원역메이플프라자 1층 2-111호",생활,open,public,unit-exact,,공식 매장 페이지. 전화 미기재
S032,ML-4-406,서관,연세보스톤치과의원,,02-2138-2837,"서울특별시 서초구 잠원로4길 50, 서관 4층 406~408호",의료,open,public,unit-exact,,2동 406~408. 병원 홈페이지
S033,ST-1-2-103,서관,메이플자이경원공인중개사사무소,경원공인중개사사무소,02-3477-5959,"서울특별시 서초구 잠원로4길 50, 1층 2-103호",부동산,open,portal,unit-exact,,매물 광고 등록주소. 이미지 1층 2-10…
S034,ST-1-2-105,서관,덕우메이플자이공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 2동 1층 105호",부동산,open,portal,unit-exact,,매물 광고 등록주소
S035,ST-1-2-106,서관,덕우공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 1층 2-106호",부동산,open,portal,unit-exact,,매물 광고 등록주소. 105호와 별개인지 현장 확인
S036,ST-1-2-113,서관,이안공인중개사사무소,,02-534-3488,"서울특별시 서초구 잠원로4길 50, 1층 2-113호",부동산,open,portal,unit-exact,,
S037,ST-1-2-118,서관,부동산넷공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 서관 1층 2-118호",부동산,open,portal,unit-exact,,휴대폰은 공개 목록에 넣지 않음
S038,ST-1-2-121,서관,그린공인중개사사무소,,02-3478-0304,"서울특별시 서초구 잠원로4길 50, 1층 2-121호",부동산,open,portal,unit-exact,,사무소 홈페이지
S039,ST-1-2-123,서관,국민공인중개사사무소,단지내메이플자이국민공인중개사사무소,,"서울특별시 서초구 잠원로4길 50, 1층 2-123호",부동산,open,portal,unit-exact,,
S040,ST-1-2-125,서관,강남일등공인중개사사무소,,02-534-7004,"서울특별시 서초구 잠원로4길 50, 1층 2-125호",부동산,open,portal,unit-exact,,매물 광고 등록주소
S041,ML-1-1-104,동관,하나은행 잠원역지점,,,"서울특별시 서초구 잠원로4길 50, 1층 1-104호",금융,open,portal,unit-exact,,이용자 제공 상세주소. 잠원역 1번 출구
S042,ML-B1-1-B101,동관,아이디헤어 메이플자이점,,0507-1426-1654,"서울특별시 서초구 잠원로4길 50, 지하1층 동관 1-B101~1-B103호",생활,open,portal,unit-exact,,이용자 제공 상세주소. 미용실
S043,ML-4-2-413,서관,이철헤어커커 잠원역점,,0507-1446-9098,"서울특별시 서초구 잠원로4길 50, 메이플자이상가 2-413~416호",생활,open,portal,unit-exact,,이용자 제공. 서관 4층
S044,ML-3-315,서관,이석민치과의원,,0507-1455-0165,"서울특별시 서초구 잠원로4길 50, 서관 3층 315호-318호",의료,open,portal,unit-exact,,이용자 제공 전화. 이전 공개번호 02-533-0111
S045,ML-B1-2-B120,서관,리햅필라테스 by 키네스트,,0507-1382-2574,"서울특별시 서초구 잠원로4길 50, 메이플프라자 지하층 2-B120호",생활,open,portal,unit-exact,,이용자 제공 상세주소
S046,ML-B1-1-B110,동관,방배김밥 메이플자이점,,02-3478-9094,"서울특별시 서초구 잠원로4길 50, 지하1층 1-B110호",음식,open,public,unit-exact,,공식 매장찾기
S047,ML-B1-2-B116,서관,동남집 잠원점,,070-8676-1579,"서울특별시 서초구 잠원로4길 50, 지하1층 2-B116호",음식,open,portal,unit-exact,,블로그·매장안내에 2-B116
S048,ML-5-1-511,동관,상위권수학학원 잠원점,상위권수학잠원학원,,"서울특별시 서초구 잠원로4길 50, 1-511·1-512·1-513호",교육,open,public,unit-exact,,학원 등록 주소
S049,ML-B1-와인앤모어,동관,와인앤모어 데일리 잠원메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하1층 이마트 에브리데이 내",생활,open,portal,floor-name,,이마트 내 코너. 별도 호수 없음
S050,ML-B1-크린에이드,미확인,크린에이드 반포메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하1층",생활,open,portal,floor-name,,이미지·사업자 이 주소. 호수 없음. 크린토피아와 별개인지 현장 확인
S051,ML-3-지온,서관,지온필라테스&자이로토닉,,,"서울특별시 서초구 잠원로4길 50, 3층 2-",생활,open,portal,floor-name,,이미지에 서관 3층. 호수 잘림
S052,ML-5-2-513,서관,메이플자이 비발디음악학원,,,"서울특별시 서초구 잠원로4길 50, 2-513·2-514·2-515호",교육,open,public,unit-exact,,학원 등록 주소
S053,ML-5-1-514,동관,메이플리틀쇼팽음악학원,,,"서울특별시 서초구 잠원로4길 50, 1-514·1-515·1-516호",교육,open,public,unit-exact,,학원 등록 주소
S054,ML-4-1-408,동관,메이플수학교습소,,,"서울특별시 서초구 잠원로4길 50, 1-408호",교육,open,public,unit-exact,,학원 등록 주소
S055,ML-B1-파워점핑,동관,파워점핑줄넘기 메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하1층 B1-1…",생활,open,portal,unit-partial,,이미지 B1-1…. 동관 지하. 호수 잘림
S056,ML-B1-백소정,미확인,백소정 잠원메이플자이점,,02-6409-0019,"서울특별시 서초구 잠원로4길 50, 지하1층",음식,open,portal,floor-name,,리뷰·사업자 이 주소. 호수 미확인
